timestamps population node_ids
546.603 v1 221
534.907 v1 221
519.519 v1 221
506.431 v1 221
360.365 v1 221
325.893 v1 221
265.373 v1 221
2455.833 v1 220
2443.227 v1 220
2428.884 v1 220
2393.732 v1 220
1606.121 v1 220
1579.993 v1 220
1489.255 v1 220
1442.946 v1 220
1423.706 v1 220
1379.925 v1 220
1355.553 v1 220
1283.32 v1 220
1229.217 v1 220
1211.813 v1 220
1194.818 v1 220
1168.895 v1 220
1152.455 v1 220
1104.904 v1 220
1072.391 v1 220
1625.602 v1 220
747.6 v1 221
1663.546 v1 220
1704.352 v1 220
2353.576 v1 220
2220.169 v1 220
2207.77 v1 220
2189.102 v1 220
2118.093 v1 220
2083.493 v1 220
2013.406 v1 220
1993.797 v1 220
1978.861 v1 220
1947.98 v1 220
1923.43 v1 220
1892.524 v1 220
1852.587 v1 220
1765.987 v1 220
1725.814 v1 220
1684.726 v1 220
769.002 v1 221
787.263 v1 221
824.005 v1 221
2224.65 v1 221
2212.667 v1 221
2191.256 v1 221
2170.612 v1 221
2128.845 v1 221
2113.903 v1 221
2056.783 v1 221
2016.43 v1 221
2002.81 v1 221
1990.262 v1 221
1975.606 v1 221
1957.897 v1 221
1942.023 v1 221
1877.864 v1 221
1857.773 v1 221
2233.366 v1 221
1813.895 v1 221
2253.261 v1 221
2336.444 v1 221
2760.603 v1 221
2744.172 v1 221
2730.322 v1 221
2717.572 v1 221
2692.03 v1 221
2640.599 v1 221
2614.503 v1 221
2590.448 v1 221
2567.353 v1 221
2534.159 v1 221
2478.899 v1 221
2465.911 v1 221
2454.614 v1 221
2441.8 v1 221
2407.488 v1 221
2294.143 v1 221
1727.784 v1 227
1792.352 v1 221
1753.372 v1 221
1238.41 v1 221
1224.945 v1 221
1211.218 v1 221
1192.725 v1 221
1173.404 v1 221
1094.633 v1 221
1069.029 v1 221
1057.05 v1 221
1042.397 v1 221
1024.977 v1 221
981.768 v1 221
966.514 v1 221
943.958 v1 221
862.64 v1 221
835.07 v1 221
1274.59 v1 221
1765.735 v1 221
1294.497 v1 221
1372.216 v1 221
1730.816 v1 221
1718.595 v1 221
1703.255 v1 221
1688.996 v1 221
1670.331 v1 221
1618.95 v1 221
1602.099 v1 221
1580.992 v1 221
1562.306 v1 221
1506.786 v1 221
1492.678 v1 221
1477.756 v1 221
1454.066 v1 221
1431.698 v1 221
1394.246 v1 221
1337.314 v1 221
1741.713 v1 227
1760.191 v1 227
1773.809 v1 227
1964.242 v1 233
1942.182 v1 233
1888.173 v1 233
1854.128 v1 233
1811.287 v1 233
1763.198 v1 233
1984.932 v1 233
1747.063 v1 233
1713.018 v1 233
1700.053 v1 233
1684.662 v1 233
1666.748 v1 233
1602.656 v1 233
1580.849 v1 233
1726.967 v1 233
1997.638 v1 233
2010.747 v1 233
2052.577 v1 233
2472.008 v1 233
2460.126 v1 233
2449.378 v1 233
2438.606 v1 233
2356.164 v1 233
2286.19 v1 233
2247.301 v1 233
2232.193 v1 233
2223.941 v1 233
2215.024 v1 233
2187.115 v1 233
2165.838 v1 233
2136.401 v1 233
2117.557 v1 233
2091.854 v1 233
1509.776 v1 233
1497.39 v1 233
1477.021 v1 233
1449.181 v1 233
869.846 v1 233
830.799 v1 233
769.029 v1 233
749.446 v1 233
727.635 v1 233
712.228 v1 233
685.321 v1 233
671.354 v1 233
643.911 v1 233
626.377 v1 233
597.138 v1 233
549.559 v1 233
533.906 v1 233
517.807 v1 233
486.066 v1 233
946.681 v1 233
2562.448 v1 233
963.122 v1 233
1002.759 v1 233
1435.632 v1 233
1418.821 v1 233
1377.046 v1 233
1336.34 v1 233
1292.833 v1 233
1268.295 v1 233
1238.138 v1 233
1223.651 v1 233
1209.745 v1 233
1189.36 v1 233
1170.811 v1 233
1107.681 v1 233
1083.759 v1 233
1054.339 v1 233
1031.685 v1 233
973.633 v1 233
435.603 v1 233
2579.586 v1 233
2650.223 v1 233
1475.579 v1 234
1444.367 v1 234
1430.145 v1 234
1388.475 v1 234
1370.635 v1 234
1313.856 v1 234
1501.561 v1 234
1281.835 v1 234
1221.859 v1 234
1207.331 v1 234
1186.891 v1 234
1162.374 v1 234
1094.109 v1 234
1055.641 v1 234
1237.763 v1 234
1572.502 v1 234
1597.481 v1 234
1624.587 v1 234
2188.118 v1 234
